model,epoch,training_loss,validation_loss,validation_accuracy
sigmoid,1,0.9718669652938843,0.7638543844223022,0.35249999165534973
sigmoid,2,0.7650750875473022,0.6875126361846924,0.6474999785423279
sigmoid,3,0.6873807311058044,0.6619523763656616,0.6474999785423279
sigmoid,4,0.6610332727432251,0.6533783078193665,0.6474999785423279
sigmoid,5,0.6519998908042908,0.6504471302032471,0.6474999785423279
sigmoid,6,0.6487960815429688,0.649442732334137,0.6474999785423279
sigmoid,7,0.6476274132728577,0.6491081714630127,0.6474999785423279
sigmoid,8,0.6471927165985107,0.6490058302879333,0.6474999785423279
sigmoid,9,0.6470290422439575,0.6489813923835754,0.6474999785423279
sigmoid,10,0.6469669342041016,0.6489810943603516,0.6474999785423279
sigmoid,11,0.646943211555481,0.6489865183830261,0.6474999785423279
sigmoid,12,0.6469342112541199,0.6489919424057007,0.6474999785423279
sigmoid,13,0.6469306945800781,0.648996114730835,0.6474999785423279
sigmoid,14,0.6469293236732483,0.648999035358429,0.6474999785423279
sigmoid,15,0.6469289064407349,0.6490010023117065,0.6474999785423279
sigmoid,16,0.6469286680221558,0.6490022540092468,0.6474999785423279
sigmoid,17,0.6469285488128662,0.6490029692649841,0.6474999785423279
sigmoid,18,0.6469284892082214,0.6490034461021423,0.6474999785423279
sigmoid,19,0.6469284892082214,0.649003803730011,0.6474999785423279
sigmoid,20,0.6469284892082214,0.6490039825439453,0.6474999785423279
sigmoid,21,0.6469284892082214,0.6490040421485901,0.6474999785423279
sigmoid,22,0.6469284892082214,0.6490042209625244,0.6474999785423279
sigmoid,23,0.6469284296035767,0.6490042209625244,0.6474999785423279
sigmoid,24,0.6469285488128662,0.6490042209625244,0.6474999785423279
sigmoid,25,0.6469285488128662,0.649004340171814,0.6474999785423279
sigmoid,26,0.6469284892082214,0.6490042805671692,0.6474999785423279
sigmoid,27,0.6469284296035767,0.649004340171814,0.6474999785423279
sigmoid,28,0.6469284892082214,0.649004340171814,0.6474999785423279
sigmoid,29,0.6469284892082214,0.6490042805671692,0.6474999785423279
sigmoid,30,0.6469284892082214,0.6490042805671692,0.6474999785423279
sigmoid,31,0.6469284892082214,0.6490042805671692,0.6474999785423279
sigmoid,32,0.6469285488128662,0.6490042805671692,0.6474999785423279
sigmoid,33,0.6469285488128662,0.649004340171814,0.6474999785423279
sigmoid,34,0.6469284892082214,0.649004340171814,0.6474999785423279
sigmoid,35,0.6469285488128662,0.649004340171814,0.6474999785423279
sigmoid,36,0.6469284892082214,0.6490042805671692,0.6474999785423279
sigmoid,37,0.6469284892082214,0.649004340171814,0.6474999785423279
sigmoid,38,0.646928608417511,0.649004340171814,0.6474999785423279
sigmoid,39,0.6469284892082214,0.649004340171814,0.6474999785423279
sigmoid,40,0.6469284892082214,0.649004340171814,0.6474999785423279
sigmoid,41,0.6469284892082214,0.649004340171814,0.6474999785423279
sigmoid,42,0.6469284892082214,0.649004340171814,0.6474999785423279
sigmoid,43,0.6469285488128662,0.649004340171814,0.6474999785423279
sigmoid,44,0.6469284892082214,0.649004340171814,0.6474999785423279
sigmoid,45,0.6469284892082214,0.649004340171814,0.6474999785423279
